time;power
13620,00;0,0207
13650,00;0,0156
13680,00;0,0186
13710,00;0,0237
13740,00;0,0155
13770,00;0,0186
13800,00;0,0237
13830,00;0,0155
13860,00;0,0186
13890,00;0,0186
13920,00;0,0237
13950,00;0,0206
13980,00;0,0154
14010,00;0,0238
14040,00;0,0208
14070,00;0,0208
14100,00;0,0208
14130,00;0,0208
14160,00;0,0155
14190,00;0,0186
14220,00;0,0237
14250,00;0,0155
14280,00;0,0238
14310,00;0,0228
14340,00;0,0154
14370,00;0,0236
14400,00;0,0206
14430,00;0,0155
14460,00;0,0185
14490,00;0,0236
14520,00;0,0155
14550,00;0,0185
14580,00;0,0235
14610,00;0,0155
14640,00;0,0237
14670,00;0,0227
14700,00;0,0155
14730,00;0,0185
14760,00;0,0236
14790,00;0,0154
14820,00;0,0184
14850,00;0,0236
14880,00;0,0155
14910,00;0,0236
14940,00;0,0228
14970,00;0,0205
15000,00;0,0309
15030,00;0,0141
15060,00;0,0204
15090,00;0,0151
15120,00;0,0253
15150,00;0,0222
15180,00;0,0200
15210,00;0,0220
15240,00;0,0220
15270,00;0,0198
15300,00;0,0197
15330,00;0,0197
15360,00;0,0219
15390,00;0,0219
15420,00;0,0195
15450,00;0,0196
15480,00;0,0218
15510,00;0,0196
15540,00;0,0217
15570,00;0,0220
15600,00;0,0220
15630,00;0,0220
15660,00;0,0219
15690,00;0,0198
15720,00;0,0220
15750,00;0,0196
15780,00;0,0146
15810,00;0,0224
15840,00;0,0195
15870,00;0,0146
15900,00;0,0226
15930,00;0,0197
15960,00;0,0219
15990,00;0,0219
16020,00;0,0196
16050,00;0,0147
16080,00;0,0224
16110,00;0,0147
16140,00;0,0175
16170,00;0,0225
16200,00;0,0147
16230,00;0,0176
16260,00;0,0225
16290,00;0,0146
16320,00;0,0175
16350,00;0,0225
16380,00;0,0147
16410,00;0,0175
16440,00;0,0224
16470,00;0,0146
16500,00;0,0224
16530,00;0,0217
16560,00;0,0146
16590,00;0,0175
16620,00;0,0224
16650,00;0,0146
16680,00;0,0174
16710,00;0,0224
16740,00;0,0146
16770,00;0,0173
16800,00;0,0247
16830,00;0,0147
16860,00;0,0226
16890,00;0,0197
16920,00;0,0147
16950,00;0,0176
16980,00;0,0226
17010,00;0,0147
17040,00;0,0176
17070,00;0,0225
17100,00;0,0146
17130,00;0,0175
17160,00;0,0225
17190,00;0,0146
17220,00;0,0175
17250,00;0,0225
17280,00;0,0147
