nazwa testu, mean vm selection, stDev vm selection, mean destHost selection, stDev destHost selection
1-thr-cth-rr,0.00041,0.00050,0.00260,0.00112
1-thr-cth-stp,0.00068,0.00052,0.05957,0.04723
1-thr-cth-wpc,0.00028,0.00045,0.04070,0.04252
1-thr-cth-wpca,0.00024,0.00043,0.04194,0.04392
1-thr-cuv-lbCpuRatio,1.02754,1.23150,0.02601,0.03819
1-thr-cuv-pck,1.76677,1.57457,0.01624,0.03094
1-thr-cuv-rr,1.29449,1.24093,0.00248,0.00096
1-thr-cuv-stp,1.31762,1.00538,0.04712,0.03547
1-thr-cuv-wpc,1.45969,1.07981,0.02515,0.03988
1-thr-cuv-wpca,1.32662,1.00651,0.02381,0.04066
1-thr-lvf-lbCpuRatio,0.00027,0.00045,0.04354,0.04706
1-thr-lvf-pck,0.00084,0.00668,0.02374,0.02946
1-thr-lvf-rr,0.00028,0.00045,0.00318,0.00189
1-thr-lvf-stp,0.00024,0.00043,0.06505,0.03595
1-thr-lvf-wpc,0.00017,0.00038,0.03754,0.04226
1-thr-lvf-wpca,0.00023,0.00042,0.03637,0.04368
1-thr-maxu-lbCpuRatio,0.00030,0.00046,0.03051,0.04426
1-thr-maxu-pck,0.00060,0.00355,0.01612,0.02782
1-thr-maxu-rr,0.00030,0.00046,0.00312,0.00141
1-thr-maxu-stp,0.00030,0.00046,0.04800,0.03133
1-thr-maxu-wpc,0.00033,0.00048,0.02756,0.04341
1-thr-maxu-wpca,0.00032,0.00047,0.02713,0.03910
1-thr-mc-lbCpuRatio,0.00694,0.01279,0.04389,0.04210
1-thr-mc-pck,0.01294,0.01003,0.03001,0.02754
1-thr-mc-rr,0.00789,0.01978,0.00291,0.00117
1-thr-mc-stp,0.00551,0.00304,0.09776,0.03796
1-thr-mc-wpc,0.00560,0.00346,0.04375,0.04058
1-thr-mc-wpca,0.00577,0.00376,0.04564,0.04004
1-thr-minu-lbCpuRatio,0.00055,0.00055,0.09756,0.04937
1-thr-minu-pck,0.00397,0.01483,0.05502,0.02963
1-thr-minu-rr,0.00051,0.00053,0.00279,0.00196
1-thr-minu-stp,0.00037,0.00049,0.14867,0.05203
1-thr-minu-wpc,0.00026,0.00045,0.06611,0.03518
1-thr-minu-wpca,0.00021,0.00041,0.06786,0.04139
1-thr-mmt-lbCpuRatio,0.00034,0.00048,0.06429,0.04603
1-thr-mmt-pck,0.00126,0.00859,0.03317,0.02789
1-thr-mmt-rr,0.00033,0.00047,0.00282,0.00163
1-thr-mmt-stp,0.00029,0.00045,0.11848,0.04556
1-thr-mmt-wpc,0.00018,0.00038,0.05016,0.03919
1-thr-mmt-wpca,0.00020,0.00040,0.05282,0.03954
1-thr-rs-lbCpuRatio,0.00031,0.00046,0.04308,0.04933
1-thr-rs-pck,0.00105,0.00801,0.03140,0.02893
1-thr-rs-rr,0.00033,0.00047,0.00282,0.00136
1-thr-rs-stp,0.00035,0.00048,0.08914,0.03725
1-thr-rs-wpc,0.00018,0.00039,0.04089,0.03892
1-thr-rs-wpca,0.00016,0.00037,0.04015,0.03713
